Ano;Mês;"Valor FOB (US$)"
2020;12;18451708927
2020;11;17344900538
2020;10;17649335596
2020;09;18223387712
2020;08;17403775488
2020;07;19416007176
2020;06;17478971342
2020;05;17519841090
2020;04;17593798650
2020;03;18312350349
2020;02;15356449520
2020;01;14429715267
2019;12;18463268592
2019;11;17609813357
2019;10;19483912811
2019;09;18620814373
2019;08;19565551588
2019;07;19920683762
2019;06;18306721692
2019;05;20500498556
2019;04;19090646313
2019;03;17308721624
2019;02;15618080347
2019;01;16638094632
2018;12;19257634148
2018;11;19199739213
2018;10;21671364889
2018;09;19041023535
2018;08;20084138252
2018;07;21055288607
2018;06;19830021392
2018;05;19271601072
2018;04;19678336251
2018;03;20228663646
2018;02;15801987736
2018;01;16769724658
2017;12;17476274644
2017;11;16584235219
2017;10;18694329848
2017;09;18533214138
2017;08;19336799997
2017;07;17658900096
2017;06;19535151809
2017;05;19726040175
2017;04;17484572350
2017;03;19854737707
2017;02;15275976600
2017;01;14827875770
2016;12;15773205272
2016;11;14212824778
2016;10;13594442203
2016;09;15684375284
2016;08;16863031142
2016;07;15142715725
2016;06;16602945756
2016;05;16596334743
2016;04;15082231392
2016;03;15845539947
2016;02;13103865483
2016;01;11024617489
2015;12;15694230026
2015;11;13603593709
2015;10;15762365201
2015;09;15467635572
2015;08;15320171814
2015;07;18334876601
2015;06;18746127441
2015;05;16625676410
2015;04;14986768884
2015;03;16748831110
2015;02;12010576962
2015;01;13481501333
2014;12;17289831724
2014;11;15506384370
2014;10;18169787901
2014;09;19370174258
2014;08;19224653901
2014;07;21921458082
2014;06;20288075461
2014;05;20540376531
2014;04;19577249934
2014;03;17467727891
2014;02;15825850012
2014;01;15741666773
2013;12;19537523486
2013;11;18918406070
2013;10;20636722332
2013;09;20745602464
2013;08;21214505830
2013;07;20357391663
2013;06;19331841435
2013;05;21654862456
2013;04;20550843458
2013;03;18360470433
2013;02;15478937787
2013;01;15757148192
2012;12;19684368532
2012;11;19707711615
2012;10;21187492462
2012;09;19890116135
2012;08;22241316256
2012;07;20837121787
2012;06;19181689510
2012;05;23146072472
2012;04;19461604595
2012;03;20739368495
2012;02;17926499266
2012;01;15949177033
2011;12;21999062581
2011;11;21666081911
2011;10;22056074475
2011;09;23191369933
2011;08;26076703082
